Priority Weighted,,Preemptive
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,7,5,70,70,76,0,0,7
102,24,4,140,140,163,0,0,24
103,37,8,235,235,284,13,0,50
104,13,3,260,260,272,0,0,13
105,3,0,305,305,307,0,0,3
106,56,6,360,360,415,0,0,56
107,25,1,455,455,479,0,0,25
108,20,1,465,480,499,15,15,35
109,15,2,510,510,524,0,0,15
110,17,5,570,570,586,0,0,17
111,29,7,585,587,615,2,2,31
112,6,0,655,655,660,0,0,6
113,14,1,675,675,688,0,0,14
114,26,0,715,715,740,0,0,26
115,48,9,740,741,883,96,1,144
116,8,2,755,755,762,0,0,8
117,28,2,775,775,861,59,0,87
118,59,0,790,790,848,0,0,59
119,33,9,840,884,916,44,44,77
120,96,0,925,925,1020,0,0,96
121,28,0,1000,1021,1048,21,21,49
122,65,4,1050,1087,1151,37,37,102
123,37,2,1050,1050,1086,0,0,37
124,99,8,1055,1187,1582,429,132,528
125,22,7,1095,1152,1186,70,57,92
126,13,3,1165,1165,1177,0,0,13
127,23,8,1220,1583,1649,407,363,430
128,56,4,1275,1275,1337,7,0,63
129,30,6,1300,1338,1367,38,38,68
130,7,1,1310,1310,1316,0,0,7
131,99,7,1320,1397,1571,153,77,252
132,29,6,1365,1368,1396,3,3,32
133,32,2,1400,1400,1431,0,0,32
134,4,2,1420,1432,1435,12,12,16
135,21,2,1510,1510,1530,0,0,21
136,19,3,1520,1531,1549,11,11,30
137,44,2,1590,1590,1633,0,0,44
138,36,1,1655,1655,1690,0,0,36
139,9,1,1670,1691,1699,21,21,30
140,39,8,1700,1700,1851,113,0,152
141,21,0,1705,1705,1725,0,0,21
142,41,6,1720,1726,1802,42,6,83
143,15,7,1735,1803,1817,68,68,83
144,36,1,1760,1760,1795,0,0,36
145,38,0,1855,1855,1892,0,0,38
146,12,0,1920,1920,1931,0,0,12
147,4,9,1930,1932,1972,39,2,43
148,37,5,1935,1935,1971,0,0,37
149,34,7,1990,1990,2040,17,0,51
150,17,3,2000,2000,2016,0,0,17
,,,,,,,,
,,,,,Min,0,0,3
,,,,,Mean,34.34,18.20,64.96
,,,,,Max,429,363,528
,,,,,StdDev,85.60,55.81,96.83
