Round Robin,Priority,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,7,5,70,70,76,0,0,7
102,24,4,140,140,163,0,0,24
103,37,8,235,235,271,0,0,37
104,13,3,260,272,284,12,12,25
105,3,0,305,305,307,0,0,3
106,56,6,360,360,415,0,0,56
107,25,1,455,455,499,20,0,45
108,20,1,465,465,494,10,0,30
109,15,2,510,510,524,0,0,15
110,17,5,570,570,586,0,0,17
111,29,7,585,587,615,2,2,31
112,6,0,655,655,660,0,0,6
113,14,1,675,675,688,0,0,14
114,26,0,715,715,740,0,0,26
115,48,9,740,741,788,1,1,49
116,8,2,755,789,796,34,34,42
117,28,2,775,797,883,81,22,109
118,59,0,790,817,875,27,27,86
119,33,9,840,884,916,44,44,77
120,96,0,925,925,1020,0,0,96
121,28,0,1000,1021,1048,21,21,49
122,65,4,1050,1050,1236,122,0,187
123,37,2,1050,1090,1253,167,40,204
124,99,8,1055,1110,1272,119,55,218
125,22,7,1095,1190,1211,95,95,117
126,13,3,1165,1273,1285,108,108,121
127,23,8,1220,1286,1308,66,66,89
128,56,4,1275,1309,1524,194,34,250
129,30,6,1300,1349,1378,49,49,79
130,7,1,1310,1379,1385,69,69,76
131,99,7,1320,1386,1553,135,66,234
132,29,6,1365,1456,1484,91,91,120
133,32,2,1400,1485,1565,134,85,166
134,4,2,1420,1505,1508,85,85,89
135,21,2,1510,1566,1605,75,56,96
136,19,3,1520,1586,1604,66,66,85
137,44,2,1590,1606,1649,16,16,60
138,36,1,1655,1655,1699,9,0,45
139,9,1,1670,1675,1683,5,5,14
140,39,8,1700,1700,1738,0,0,39
141,21,0,1705,1739,1759,34,34,55
142,41,6,1720,1760,1800,40,40,81
143,15,7,1735,1801,1815,66,66,81
144,36,1,1760,1816,1851,56,56,92
145,38,0,1855,1855,1892,0,0,38
146,12,0,1920,1920,1931,0,0,12
147,4,9,1930,1932,1935,2,2,6
148,37,5,1935,1936,1972,1,1,38
149,34,7,1990,1990,2023,0,0,34
150,17,3,2000,2024,2040,24,24,41
,,,,,,,,
,,,,,Min,0,0,3
,,,,,Mean,41.60,27.44,72.22
,,,,,Max,194,108,250
,,,,,StdDev,50.42,32.24,61.46
