Shortest job first,,Preemptive
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,7,5,70,70,76,0,0,7
102,24,4,140,140,163,0,0,24
103,37,8,235,235,271,0,0,37
104,13,3,260,272,284,12,12,25
105,3,0,305,305,307,0,0,3
106,56,6,360,360,415,0,0,56
107,25,1,455,455,479,0,0,25
108,20,1,465,480,499,15,15,35
109,15,2,510,510,524,0,0,15
110,17,5,570,570,586,0,0,17
111,29,7,585,587,615,2,2,31
112,6,0,655,655,660,0,0,6
113,14,1,675,675,688,0,0,14
114,26,0,715,715,740,0,0,26
115,48,9,740,741,796,9,1,57
116,8,2,755,755,762,0,0,8
117,28,2,775,797,824,22,22,50
118,59,0,790,825,916,68,35,127
119,33,9,840,840,872,0,0,33
120,96,0,925,925,1020,0,0,96
121,28,0,1000,1021,1048,21,21,49
122,65,4,1050,1087,1173,59,37,124
123,37,2,1050,1050,1086,0,0,37
124,99,8,1055,1187,1308,155,132,254
125,22,7,1095,1095,1116,0,0,22
126,13,3,1165,1174,1186,9,9,22
127,23,8,1220,1220,1242,0,0,23
128,56,4,1275,1346,1434,104,71,160
129,30,6,1300,1309,1345,16,9,46
130,7,1,1310,1310,1316,0,0,7
131,99,7,1320,1467,1605,187,147,286
132,29,6,1365,1365,1393,0,0,29
133,32,2,1400,1435,1466,35,35,67
134,4,2,1420,1420,1423,0,0,4
135,21,2,1510,1510,1530,0,0,21
136,19,3,1520,1531,1549,11,11,30
137,44,2,1590,1606,1649,16,16,60
138,36,1,1655,1655,1699,9,0,45
139,9,1,1670,1670,1678,0,0,9
140,39,8,1700,1700,1774,36,0,75
141,21,0,1705,1705,1725,0,0,21
142,41,6,1720,1811,1851,91,91,132
143,15,7,1735,1735,1749,0,0,15
144,36,1,1760,1775,1810,15,15,51
145,38,0,1855,1855,1892,0,0,38
146,12,0,1920,1920,1931,0,0,12
147,4,9,1930,1932,1935,2,2,6
148,37,5,1935,1936,1972,1,1,38
149,34,7,1990,1990,2040,17,0,51
150,17,3,2000,2000,2016,0,0,17
,,,,,,,,
,,,,,Min,0,0,3
,,,,,Mean,18.24,13.68,48.86
,,,,,Max,187,147,286
,,,,,StdDev,39.06,31.59,57.55
